_id,name,brand,category,uni_code,box_quantity,price,quantity,stock_item,__v,spent,barcodes[0],barcodes[1],suppliers[0],suppliers[1],suppliers[2],barcode[0],barcode[1],volume,volume_unity,tax
66bbae78e00fb7aa524f0cb9,Vassoura de Palha,Atlas,Outras,,,32.9,0,false,0,0,,,666824e08c8e77b54bf64798,,,,,,,
66bbae98e00fb7aa524f0cc1,Pá de Lixo Inox,Outras,Outras,,,149,0,false,0,0,,,666824e08c8e77b54bf64798,,,,,,,
66bbb0d0e00fb7aa524f15e1,Aerógrafo,Neoeco,Ferramenta,,,177,1,false,0,0,,,66a12784affe4f371ee44ba0,,,,,,,19
66bde2e3e00fb7aa5251c591,Chave Canhão  6,Gedore,Ferramenta,,,25,0,false,0,0,,,,,,,,,,
66bf43f3e00fb7aa52540cd2,Primer Spectra 2K ,Lazzuril,Outras,P30 Cinza,6,129.95,32,false,0,1,,,6682eb544c67be05ec5bfd54,,,,,900,ml,
66c3828ee00fb7aa52575542,Aerógrafo ,Vonder,Ferramenta,AJ008,,100,12,true,0,1,,,6667568212dbd4d908e415b2,,,,,,,
66c791b0c6f2db25b1a746d9,Bobina Papel Ondulado,Outras,Outras,25mts,,60,1,false,0,0,,,66c7917ec6f2db25b1a74694,,,,,,,
66c79278c6f2db25b1a74707,Copo Cristal,Outras,Outras,50ml C/100,,2.5,0,false,0,0,,,66c7917ec6f2db25b1a74694,,,,,,,
66c792f3c6f2db25b1a7470f,Pacote Saco de Lixo,Outras,Outras,20lts C/100,,15,10,false,0,0,,,66c7917ec6f2db25b1a74694,,,,,,,
66c79338c6f2db25b1a7472c,Bobina Filme Stretch,Outras,Outras,50cm,,56.5,1,false,0,0,,,66c7917ec6f2db25b1a74694,,,,,,,
66cc84ad0ad0ecdcf4757ca8,Vira Macho Reto,Rocast,Ferramenta,N2,,80,2,false,0,0,,,,,,,,,,
66cc84df0ad0ecdcf4757cb0,Macho 3/8,Dormer,Ferramenta,,2,170,6,false,0,0,,,,,,,,,un,
66cccbc50ad0ecdcf4767a89,Par de Filtro Para Máscara,3M,Epi,5N11,,,45,false,0,9,,,668d8148bde8fadf6747ee14,,,,,,,
66cccc520ad0ecdcf4767a91,Macacão de Segurança,Vicsa,Outras,G,,,4,false,0,0,,,,,,,,,,
66cccc7b0ad0ecdcf4767aa7,Macacão de Segurança ,Vicsa,Outras,XG,,,5,false,0,0,,,,,,,,,,
66ccccaf0ad0ecdcf4767eff,Macacão de Segurança  ,Vicsa,Outras,XXG,,,5,false,0,0,,,,,,,,,,
66cccccf0ad0ecdcf4767f07,Macacão de Segurança   ,Vicsa,Outras,M,,,3,false,0,0,,,,,,,,,,
66cccd0d0ad0ecdcf4767f0e,Retentor Para Máscara,3M,Epi,Série 5000,,,35,false,0,6,,,668d8148bde8fadf6747ee14,,,,,,,
66ccd84c0ad0ecdcf476a3d9,Máscara Semi Facial Média,3M,Epi,Séries 7502,1,54,23,false,0,3,C.A. 12011,,668d8148bde8fadf6747ee14,,,,,,,
66ccddc70ad0ecdcf476ad1c,Bota PVC,Outras,Epi,n° 39,,,4,false,0,0,,,,,,,,,,
66ccddd80ad0ecdcf476ad24,Bota PVC ,Outras,Epi,n° 41,,,3,false,0,1,,,,,,,,,,
66ccddec0ad0ecdcf476ad2c,Bota PVC  ,Outras,Epi,n° 42,,,3,false,0,1,,,,,,,,,,
66ccddfc0ad0ecdcf476ad34,Bota PVC   ,Outras,Epi,n° 43,,,4,false,0,1,,,,,,,,,,
66ccde130ad0ecdcf476ad3d,Bota PVC    ,Outras,Epi,n° 44,,,4,false,0,0,,,,,,,,,,
66ccde270ad0ecdcf476ad45,Bota PVC     ,Outras,Epi,n° 46,,,1,false,0,0,,,,,,,,,,
66cce2200ad0ecdcf476bf67,Botina,Kadesh,Epi,n° 40,,,6,false,0,0,,,,,,,,,,
