_id,name,brand,hex,type,formula[0].base,formula[1].base,formula[2].base,formula[3].base,formula[4].base,formula[5].base,formula[6].base,formula[7].base,formula[8].base,formula[9].base,formula[10].base,formula[11].base,formula[0].quantity,formula[1].quantity,formula[2].quantity,formula[3].quantity,formula[4].quantity,formula[5].quantity,formula[6].quantity,formula[7].quantity,formula[8].quantity,formula[9].quantity,formula[10].quantity,formula[11].quantity,__v,manufacturer,tags[0],tags[1],tags[2],brands[0],brands[1],brands[2],brands[3],manufacture
667f16866441788f4d74ff99,Instagram (Amarelo),Farben,#f3e4a2,Laca,65e87b69cb7a1ff3d9a824ea,65e87b69cb7a1ff3d9a824d2,65e87b69cb7a1ff3d9a824d4,,,,,,,,,,32,5.2,1,,,,,,,,,,0,,,,,,,,,
667f18f46441788f4d7505ff,Instagram (Azul),Farben,#5751c9,Laca,65e87b69cb7a1ff3d9a824ea,65e87b69cb7a1ff3d9a824da,65e87b69cb7a1ff3d9a824cc,,,,,,,,,,15,22,8,,,,,,,,,,0,,,,,,,,,
6682dc128edc6995cd0df1c9,Azul Profundo,Farben,#343467,Acrilico,65ea0c76caee68804da3dfb8,6620073ab18ad27a975a662b,65ea0d9588af5449465bf4e8,65ea105788af5449465bf510,65ea0e3988af5449465bf4ec,,,,,,,,218,39.1,43.4,39,26.4,,,,,,,,0,Scania,,,,,,,,
6682f49c4c67be05ec5c26b7,Vermelho i'Carne,Farben,#e22e18,Acrilico,65ea0e3988af5449465bf4ec,65ea0cbc88af5449465bf4d0,65ea0d7b88af5449465bf4e4,,,,,,,,,,60,70.8,1,,,,,,,,,,0,,,,,,,,,
6683008a19bd4abe51f17da6,Dourado Ankaa,Farben,#e0d56d,Poliester,65eef66bc6ade12d4088a2b6,65ea0352ccec707705049770,660da5722fd6df2c5cc9e6be,65f81f8b21502206e1869fda,,,,,,,,,35.5,8,9.6,2,,,,,,,,,0,,,,,,,,,
668aeaf9bde8fadf674685ff,Amarelo Escolar,Farben,#efc126,Acrilico,65ea0d9588af5449465bf4e8,65ea0cda88af5449465bf4d4,6620073ab18ad27a975a662b,65eef5c2c6ade12d4088a291,65ea0d1f88af5449465bf4dc,,,,,,,,0.27,20.7,20.7,64.7,203.5,,,,,,,,0,,,,,,,,,
668ec70bbde8fadf6748233b,Dehli Red,Farben,#d82727,Acrilico,65ea0e3988af5449465bf4ec,6620073ab18ad27a975a662b,65ea0d7b88af5449465bf4e4,65ea0cbc88af5449465bf4d0,65ea0e5788af5449465bf4f0,,,,,,,,397,14.7,2,127,31,,,,,,,,0,Volvo,1519RED,l19519.1392,,,,,,
6691415ebde8fadf67486a56,Yellow Orange,Farben,#e6913c,Acrilico,65ea0d5d88af5449465bf4e0,65ea0cda88af5449465bf4d4,65ea0cbc88af5449465bf4d0,6620073ab18ad27a975a662b,65ea0d1f88af5449465bf4dc,,,,,,,,223,87,69.2,30,47,,,,,,,,0,Volvo,1203,,,,,,,
66915ff6bde8fadf674877b6,Vermelho Merlot,Farben,#7d0507,Acrilico,65ea0e5788af5449465bf4f0,65ea107388af5449465bf514,6620073ab18ad27a975a662b,65ea0e3988af5449465bf4ec,65ea0d7b88af5449465bf4e4,,,,,,,,132,60.4,3.8,95,8.2,,,,,,,,0,Scania,,,,,,,,
66919748bde8fadf6748866e,Yellow Volvo,Farben,#eeea56,Acrilico,6620073ab18ad27a975a662b,65eef5c2c6ade12d4088a291,65ea0f4e88af5449465bf504,65ea0cda88af5449465bf4d4,65ea0d9588af5449465bf4e8,,,,,,,,133,125,105,14.2,0.2,,,,,,,,0,Volvo,1211,,,,,,,
