idx	uniCode	nome	categoriaAtual	marca	qtd	ppeType
595	127m	Adesivo	Material/REGULAR	Hcr	46	
596	300x7,2mm	Abraçadeira Nylon Preta	Material/REGULAR	Genérico	7	
597	5N11	Par de Filtro Para Máscara	Epi/PPE	3M	13	OTHERS
598		Escova Aço Motoesmeril	(sem)	Genérico	1	
599		Parafuso Sextavado Inox 6x20 8.8	Material/REGULAR		100	
600	43613	Combinada Speedy 17	Ferramenta/TOOL	Sata	1	
601		Bucha de Redução	Material/REGULAR	Genérico	10	
602	513.820	Primer Pu Preto 5x1	Pigmento/REGULAR	Farben	10	
603		Broca Sds P/ Concreto	Ferramenta/TOOL	Twill	1	
604		Parafuso Sextavado Inox	(sem)	Genérico	500	
605		Refil de Maçarico	(sem)	Eos*	21	
606	BS120	Máscara Solda/autom	Ferramenta/TOOL	Boxer	1	
607		Parafuso Sextavado Zincado	(sem)	Genérico	1100	
608	UC608	Perolizado Vermelho Fino	Pigmento/REGULAR	Farben	8.341900000000003	
609		Marreta Pequena	Ferramenta/TOOL	Gedore	3	
610	Direita	Faixa Refletiva	Material/REGULAR	Avery Denisson	100	
611	9mx55mm 3T	Cinta Catraca P/ Amarração	Ferramenta/TOOL	Multiekip	11	
612	43607	Combinada Speedy 11	Ferramenta/TOOL	Sata	1	
613	UC625	Perolizado Azul Graudo	Pigmento/REGULAR	Farben	21	
614		Galocha - 35	Epi/PPE	Kadesh	1	RAIN_BOOTS
615		Vira Macho Reto	Ferramenta/TOOL	Rocast	2	
616	Fm	Chave Fenda Grande	Ferramenta/TOOL	Genérico	1	
617	UC690	Aluminio Ouro	Pigmento/REGULAR	Farben	3.8533999999999993	
618	DMB	Faixa Refletiva Lateral Esquerda	(sem)	Dm	900	
619		Plugue Fêmea	(sem)	Genérico	3	
620	8pçs	Conjunto de Chaves Fenda Phillips	Ferramenta/TOOL	Gedore	1	
621	UC271	Branco Transparente	Pigmento/REGULAR	Farben	5.896000000000003	
622		Lixa Folha 400	Abrasivos/REGULAR	3M	500	
623	AMF	Scotch Brite	(sem)	3M	600	
624		Massa de Polir	Ferramenta/TOOL	Pérola	4	
625		Espatula Inox/12cm Cab Pvc	(sem)	Genérico	2	
626		Estilete Snap Off	(sem)	Irwin	86	
627	PRO-316	Rebitadeira Pneumatica	Ferramenta/TOOL	Pdr	2	
628	GSB 13 RE	Furadeira	Ferramenta/TOOL	Bosch	1	
629	UC287	Azul	Pigmento/REGULAR	Farben	6	
630	X	Batente Borracha	(sem)	Genérico	14	
631		Suporte Garfo Rolo de Pintura	Ferramenta/TOOL	Atlas	6	
632		Galocha - 43	Epi/PPE	Kadesh	2	RAIN_BOOTS
633	001	Garrafa Quadrada	Material/REGULAR	Genérico	30	
634	Fm	Chave Fenda Média	Ferramenta/TOOL	Genérico	1	
635		Combinada 12	Ferramenta/TOOL	Gedore	1	
636	GSB -50	Parafusadeira	Ferramenta/TOOL	Bosch	1	
637	508.800	Massa Poliester Fibras	(sem)	Farben	19	
638	7501	Máscara Semi Facial Pequena	Epi/PPE	3M	12	MASK
639		Combinada Catraca 15	Ferramenta/TOOL	Gedore	1	
640		Mangueira de Ar	(sem)	Ibira	988	
641	UC642	Aluminio Fino Brilhante	Pigmento/REGULAR	Farben	13.796600000000002	
642		Combinada Catraca 13	Ferramenta/TOOL	Gedore	1	
643		Combinada Catraca 10	Ferramenta/TOOL	Gedore	1	
644	NK-65	Disco Pluma P1500 (polimento)	Ferramenta/TOOL	Genérico	2	
645	Fm	Chave Fenda Pequena	Ferramenta/TOOL	Genérico	1	
646		Martelo Pena Cabo Fibra	Ferramenta/TOOL	Gedore	0	
647	1/2	Soquete Sextavado 16	Ferramenta/TOOL	Gedore	2	
648	SM-40	Engate Rápido Macho	(sem)	Japonês	55	
649	GR3	Creme Protetor p/ Pele	Epi/PPE	Nutriex	3	OTHERS
650		Lixa Hookit P150	Abrasivos/REGULAR	3M	600	
651	AC174	Amarelo Oxido	Pigmento/REGULAR	Farben	3.198899999999997	
652	43606	Combinada Speedy 10	Ferramenta/TOOL	Sata	1	
653		Combinada Articulada 16	Ferramenta/TOOL	Belzer	1	
654	1/2	Soquete Sextavado 12	Ferramenta/TOOL	Gedore	2	
655		Combinada Articulada 14	Ferramenta/TOOL	Belzer	1	
656	2022	Espatula Rigida Adesivo	(sem)	Exfak	211	
657	DHP482	Parafusadeira	Ferramenta/TOOL	Makita	1	
658		Chave Canhão 3	Ferramenta/TOOL	Gedore	1	
659		Bobina Plástico Bolha	(sem)	Genérico	1	
660	6IN 3/ PRO	Lixadeira Orbital	Ferramenta/TOOL	3M	3	
661	558.400	Diluente	Diluente/REGULAR	Farben	61.69859999999998	
662	43614	Combinada Speedy 18	Ferramenta/TOOL	Sata	1	
663	1/2	Soquete Sextavado 10	Ferramenta/TOOL	Gedore	2	
664	557.000	Thinner 18l	Diluente/REGULAR	Farben	4	
665	321	Máscara	(sem)	Adere	3	
666	M3500	Massa Poliester	Ferramenta/TOOL	Lazzuril	1	
667	P22	Fita Isolante	Ferramenta/TOOL	Prysmian	3	
668	506.000	Líq. de Mascaramento	(sem)	Farben	99	
669	UC277	Azul Avermelhado	Pigmento/REGULAR	Farben	12.198200000000002	
670	UC643	Aluminio Medio Brilhante	Pigmento/REGULAR	Farben	14.041	
671		Camiseta - fem	Epi/PPE	Gourmet	0	SHIRT
672	425	Fita Crepe Automotiva	Material/REGULAR	Adere	532	
673	PP-40	Engate Rapido Macho	(sem)	Japonês	65	
